model_name,rpm,CMH,Pa,Area 1(CMH),Area 1(Pa),Area 2(CMH),Area 2(Pa),power (kW),total efficiency (%),static pressure efficiency (%),63Hz(dB / dB(A)),125Hz(dB / dB(A)),250Hz(dB / dB(A)),500Hz(dB / dB(A)),1kHz(dB / dB(A)),2kHz(dB / dB(A)),4kHz(dB / dB(A)),8kHz(dB / dB(A)),Total_dB / dB(A)
TZAF 1120 FF T2,200,26826,41,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.39,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,200,28019,38,18571.428571428572,76.19047619047619,27272.727272727276,52.892561983471076,0.37,84.67,78.96,66 / 40,67 / 51,66 / 57,61 / 58,57 / 57,52 / 53,47 / 48,42 / 41,72 / 63
TZAF 1120 FF T2,250,25974,108,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.98,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,26649,102,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.96,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,27379,97,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.93,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,28173,92,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.91,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,29040,86,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.88,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,29992,81,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.85,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,31045,75,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.82,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,32217,70,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.79,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,33532,65,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.76,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,250,35023,59,23214.285714285714,119.04761904761905,34090.909090909096,82.64462809917356,0.73,84.67,78.96,71 / 45,72 / 56,71 / 62,66 / 63,62 / 62,57 / 58,52 / 53,47 / 46,77 / 68
TZAF 1120 FF T2,300,31169,155,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.7,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,31979,147,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.66,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,32855,140,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.61,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,33807,132,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.57,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,34848,124,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.52,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,35991,116,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.47,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,37254,109,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.42,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,38660,101,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.37,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,40239,93,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.32,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,300,42028,85,27857.14285714286,171.42857142857142,40909.09090909091,119.00826446280993,1.26,84.67,78.96,75 / 49,76 / 60,75 / 66,70 / 67,66 / 66,61 / 62,56 / 57,51 / 50,81 / 72
TZAF 1120 FF T2,350,36364,211,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.7,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,37308,201,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.63,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,38331,190,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.56,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,39442,180,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.49,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,40656,169,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.42,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,41989,158,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.34,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,43463,148,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.26,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,45104,137,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.18,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,46945,127,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.09,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,350,49033,116,32500.0,233.33333333333334,47727.27272727273,161.9834710743802,2.0,84.67,78.96,78 / 52,79 / 63,78 / 69,73 / 70,69 / 69,64 / 65,59 / 60,54 / 53,84 / 75
TZAF 1120 FF T2,400,41558,276,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,4.03,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,42638,262,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.93,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,43806,248,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.83,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,45076,234,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.72,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,46464,221,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.61,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,47988,207,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.49,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,49672,193,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.37,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,51547,179,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.25,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,53652,166,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,3.12,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,400,56037,152,37142.857142857145,304.76190476190476,54545.45454545455,211.5702479338843,2.99,84.67,78.96,81 / 55,82 / 66,81 / 72,76 / 73,72 / 72,67 / 68,62 / 63,57 / 56,87 / 78
TZAF 1120 FF T2,450,46753,349,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,5.74,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,47968,332,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,5.6,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,49282,314,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,5.45,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,50711,297,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,5.29,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,52272,279,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,5.14,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,53986,262,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,4.97,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,55881,244,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,4.81,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,57990,227,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,4.63,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,60358,209,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,4.45,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,450,63042,192,41785.71428571429,385.7142857142857,61363.63636363637,267.7685950413223,4.26,84.67,78.96,84 / 58,85 / 69,84 / 75,79 / 76,75 / 75,70 / 71,65 / 66,60 / 59,90 / 81
TZAF 1120 FF T2,500,51948,431,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,7.88,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,53298,409,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,7.68,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,54758,388,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,7.47,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,56346,366,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,7.26,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,58080,345,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,7.05,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
TZAF 1120 FF T2,500,59984,323,46428.57142857143,476.1904761904762,68181.81818181819,330.57851239669424,6.82,84.67,78.96,86 / 60,87 / 71,86 / 77,81 / 78,77 / 77,72 / 73,67 / 68,62 / 61,92 / 83
